Name,Type,Attunement,Price,Source,Damage,Description
Abjurer's Ward (Uncommon),Wondrous Item,No,400 GP,GSB,-,"Abjurer's Ward is an uncommon magical wondrous item that grants a distinctive utility, defensive, or combat-related supernatural effect associated with its theme."
Acorn Charm,Wondrous Item,No,400 GP,GSB,-,"Acorn Charm is a small magical charm that grants a limited protective, utility, or luck-related benefit."
Acorn Helmet,Wondrous Item,No,400 GP,GSB,-,"Acorn Helmet is an uncommon magical wondrous item that grants a distinctive utility, defensive, or combat-related supernatural effect associated with its theme."
Adamantine Armor,Armor,-,B+400 GP,DMG,-,"While wearing this armor, any critical hit against you becomes a normal hit."
Adamantine Weapon,Weapon,-,B+400 GP,DMG,Weapon's normal damage,This adamantine weapon is exceptionally effective against objects and durable materials.
Alchemimic,Wondrous Item,No,400 GP,GSB,-,"Alchemimic is an uncommon magical wondrous item that grants a distinctive utility, defensive, or combat-related supernatural effect associated with its theme."
Alchemist's Bubblegun,Weapon (pistol),No,400 GP,GSB,Weapon's normal damage,"Alchemist's Bubblegun is a magical weapon with an additional combat effect, special attack option, or utility property associated with its theme."
Alchemist's Potion Belt,Wondrous Item,No,200 GP,GSB,-,"Alchemist's Potion Belt is a consumable magical preparation that grants a temporary restorative, transformative, protective, or utility effect when used."
Alchemist's Shaker,Wondrous item,No,400 GP,GSB,-,"Alchemist's Shaker is an uncommon magical wondrous item that grants a distinctive utility, defensive, or combat-related supernatural effect associated with its theme."
Alchemy Blade,Weapon (shortsword),No,400 GP,GSB,Weapon's normal damage,"Alchemy Blade is a magical weapon with an additional combat effect, special attack option, or utility property associated with its theme."
Alchemy Jug,Wondrous Item,-,400 GP,DMG,-,This ceramic jug can produce set quantities of several different liquids each day.
Ambitious Medic's Box,Wondrous Item,Yes,400 GP,GSB,-,"Ambitious Medic's Box is an uncommon magical wondrous item that grants a distinctive utility, defensive, or combat-related supernatural effect associated with its theme."
Ammunition (Uncommon),Weapon,-,Varies,DMG,Weapon's normal damage,"This magic ammunition grants a bonus to attack and damage rolls determined by its version. Once it hits a target, it loses its magic; on a miss, the ammunition may be recoverable."
Amulet of Buoyancy,Wondrous Item,No,400 GP,GSB,-,"Amulet of Buoyancy is a magical neck-worn item that provides a protective, sensory, restorative, or spell-like benefit while worn."
Amulet of Equilibrium,Wondrous Item,Yes,400 GP,GSB,-,"Amulet of Equilibrium is a magical neck-worn item that provides a protective, sensory, restorative, or spell-like benefit while worn."
Amulet of Proof against Detection and Location,Wondrous Item,Attunement,400 GP,DMG,-,"While wearing this amulet, you are hidden from divination magic and cannot be targeted by magical scrying sensors."
Amulet of the Guiding Eye,Wondrous Item,Yes,400 GP,GSB,-,"Amulet of the Guiding Eye is a magical neck-worn item that provides a protective, sensory, restorative, or spell-like benefit while worn."
Amulet of the Unknowne,Wondrous Item,Yes-Warlock,400 GP,GSB,-,"Amulet of the Unknowne is a magical neck-worn item that provides a protective, sensory, restorative, or spell-like benefit while worn."
Amulet of the Wagoneer,Wondrous Item,No,400 GP,GSB,-,"Amulet of the Wagoneer is a magical neck-worn item that provides a protective, sensory, restorative, or spell-like benefit while worn."
Angler's Armor,Armor (scale mail),Yes,400 GP,GSB,-,"Angler's Armor is enchanted armor that grants a special defensive, movement, sensory, or environmental benefit related to its theme."
Angler's Wand,Wand,No,400 GP,GSB,-,Angler's Wand is a magical wand with a limited-use spell-like or supernatural effect that reflects its name.
Angler's Worldy Fisher,Wondrous Item,No,400 GP,GSB,-,"Angler's Worldy Fisher is an uncommon magical wondrous item that grants a distinctive utility, defensive, or combat-related supernatural effect associated with its theme."
Arachnic Grappler,Weapon (pistol),Yes,400 GP,GSB,Weapon's normal damage,"Arachnic Grappler is a magical weapon with an additional combat effect, special attack option, or utility property associated with its theme."
Arcane Battery,Wondrous Item,-,200 GP,NF,-,"Arcane Battery is an uncommon magical wondrous item that grants a distinctive utility, defensive, or combat-related supernatural effect associated with its theme."
Arcanist's Magnificent Magnifier,Wondrous Item,No,400 GP,GSB,Cold,"Arcanist's Magnificent Magnifier is an uncommon magical wondrous item that grants a distinctive utility, defensive, or combat-related supernatural effect associated with its theme."
Arm of Balaria,Weapon (quarterstaff),Yes-Monk,400 GP,GSB,Weapon's normal damage,"Arm of Balaria is a magical weapon with an additional combat effect, special attack option, or utility property associated with its theme."
Arming Ring,Ring,No,400 GP,GSB,-,Arming Ring is a magical ring that grants its wearer a limited supernatural ability or passive benefit reflecting the ring's theme.
Arrow of Anchoring,Weapon (arrow or bolt),No,400 GP,GSB,Weapon's normal damage,"Arrow of Anchoring is a magical weapon with an additional combat effect, special attack option, or utility property associated with its theme."
Arrow of Expulsion (Uncommon),Weapon (arrow),No,400 GP,GSB,Weapon's normal damage,"Arrow of Expulsion is a magical weapon with an additional combat effect, special attack option, or utility property associated with its theme."
Artisan's Signet,Ring,Yes,400 GP,GSB,-,Artisan's Signet is a magical ring that grants its wearer a limited supernatural ability or passive benefit reflecting the ring's theme.
Astronomer's Boon,Wondrous Item,No,400 GP,GSB,-,"Astronomer's Boon is an uncommon magical wondrous item that grants a distinctive utility, defensive, or combat-related supernatural effect associated with its theme."
Attack-In-The-Box,Weapon (flail),No,400 GP,GSB,Weapon's normal damage,"Attack-In-The-Box is a magical weapon with an additional combat effect, special attack option, or utility property associated with its theme."
Augurer's Coin,Wondrous Item,No,400 GP,GSB,-,"Augurer's Coin is an uncommon magical wondrous item that grants a distinctive utility, defensive, or combat-related supernatural effect associated with its theme."
Axe Beak Tomahawk,Weapon (handaxe),No,400 GP,GSB,Weapon's normal damage,"Axe Beak Tomahawk is a magical weapon with an additional combat effect, special attack option, or utility property associated with its theme."
Axe of Hurricanes,Weapon (any axe),No,400 GP,GSB,Weapon's normal damage,"Axe of Hurricanes is a magical weapon with an additional combat effect, special attack option, or utility property associated with its theme."
Baba Yaga's Dancing Broom,Wondrous Item,Attunement,400 GP,DMG,-,"Baba Yaga's Dancing Broom is an uncommon magical wondrous item that grants a distinctive utility, defensive, or combat-related supernatural effect associated with its theme."
Badge of the Savant,Wondrous Item,No,400 GP,GSB,-,"Badge of the Savant is an uncommon magical wondrous item that grants a distinctive utility, defensive, or combat-related supernatural effect associated with its theme."
Bag of Continual Embers,Wondrous item,No,400 GP,GSB,Fire,"Bag of Continual Embers is a magical container with unusual storage, conjuration, retrieval, or utility properties."
Bag of Forging Coals,Wondrous Item,No,400 GP,GSB,-,"Bag of Forging Coals is a magical container with unusual storage, conjuration, retrieval, or utility properties."
Bag of Gifts,Wondrous Item,No,400 GP,GSB,-,"Bag of Gifts is a magical container with unusual storage, conjuration, retrieval, or utility properties."
