Name,Type,Attunement,Price,Source,Damage,Description
Abjurers Gilder,Wondrous Item,Yes-Wizard,100 GP,GSB,-,"While worn by a wizard who knows shield, the shield spell is always prepared without counting against prepared spells. Whenever you cast shield, you gain one additional reaction before the start of your next turn; that extra reaction cannot be used to cast shield again."
Adventurer's Ring,Ring,-,250 GP,DMG,-,A practical magical ring intended to provide a small benefit to an adventurer.
Aereni Mask,Wondrous Item,Attunement,250 Gp,EB,-,A magical mask associated with Aereni traditions and appearance.
Alcoholock,Wondrous Item,No,100 GP,GSB,-,"This tankard-shaped lock cannot be picked with thieves' tools or opened by a key. It opens only when at least 1 ounce of its bound alcoholic drink is poured into the keyhole. Binding takes 1 hour of submersion; a DC 15 Wisdom (Perception) check identifies the drink by smell, increasing by 2 for each additional alcohol in a blend, to a maximum DC 25."
Amulet of Beginner's Luck,Wondrous item,No,100 GP,GSB,-,"When you make an ability check using a skill you are not proficient in and roll a 1 or 2 on the d20, you can reroll the check and must use the new result. Once used, this property recharges at the next dawn."
Armor of Gleaming,Armor,-,B+100 GP,DMG,-,"Armor that magically keeps a polished, spotless appearance."
Aurora Dust,Wondrous Item,No,100 GP,GSB,-,"The bag contains 1d6 + 4 pinches. As an action, sprinkle a pinch over an open flame to recolor its light blue, green, and purple and create a shimmering aurora above it within the bright-light area. The effect lasts as long as the flame, up to 24 hours."
Bag of Bellstones,Wondrous Item,No,100 GP,GSB,-,"The bag holds up to 20 small stones and is typically found with 1d12 + 8. A stone kept inside for at least 1 minute becomes magical until the end of your turn when removed; while magical, it rings like a bell audible to 60 feet whenever it hits a target or touches a surface."
Ball of Wild Earth,Wondrous Item,No,100 GP,GSB,-,"A Tiny sentient pebble covered in shapeable dirt. It rolls at 10 feet, has AC 10, 15 hit points, resistance to all damage, and regains all hit points after being buried underground for 1 hour. It can reshape its dirt into small forms and understands Common and Terran; it has hearing and 60-foot darkvision."
Bands of the Found and Lost,Wondrous Item,No,100 GP,GSB,-,"Magical bands that help locate, recover, or reconnect separated objects or creatures."
Bard in a Box,Wondrous Item,No,100 GP,GSB,-,A tiny magical performer that can provide music and bardic-style entertainment.
Bath Potion,Potion,No,50 GP,GSB,-,"A magical potion centered on bathing and cleanliness, providing a whimsical magical bathing effect rather than combat power."
Battle Rod,Rod,-,100 GP,EB,-,A magical rod designed to provide a minor combat-oriented benefit.
Bead of Nourishment,Wondrous Item,-,50 GP,DMG,-,A small magical bead that provides nourishment when consumed.
Bead of Refreshment,Wondrous Item,-,50 GP,DMG,-,A small bead that magically provides a refreshing drink.
Bell of Alarm,Wondrous Item,No,100 GP,GSB,-,"The clapperless bell has 4 charges. As an action, expend 1 charge and specify a delay of up to 8 hours; when time expires, only you hear its ringing if you are within 1 mile and on the same plane. You can cancel a timer mentally as a bonus action. All charges return at dawn."
Belltower Triangle,Wondrous Item,No,100 GP,GSB,-,"As an action, strike the triangle; it rings until the start of your next turn and is audible to 120 feet. Any creature that hears it magically knows the current time of day to the nearest quarter hour. The property recharges at midday or midnight, whichever comes first."
Belt of Honesty,Wondrous Item,No,100 GP,GSB,-,A magical belt associated with truthfulness and honest communication.
Bird of a Feather,Wondrous Item,No,100 GP,GSB,-,A magical bird-themed item that creates a connection between creatures or objects sharing a common nature.
Bird's-Eye Bolt,Weapon (an arrow or bolt),No,B+100 GP,GSB,-,"As an action, fire this magic arrow or bolt upward to destroy it and create an invisible sensor in a space you can see up to 120 feet directly above you. For 1 minute, or until you move more than 120 feet from the firing point, you can use an action to see and hear through the sensor until the start of your next turn. If the ammunition hits a target instead, it loses its magic."
Bloody Marilith,Potion,No,50 GP,GSB,-,"After drinking the common version, for 1 minute you can take one reaction even if you have already used a reaction since the end of your last turn; taking that extra reaction ends the effect. Drinking additional Bloody Mariliths before a long rest causes lethargy when the effect ends, preventing movement or actions until after your next turn."
Bonfire Blade,Weapon (any sword),No,B+100 GP,GSB,-,"As an action, jab this sword into the ground at your feet. It sinks to the hilt and creates a small magical campfire that gives normal heat and light but needs no fuel or oxygen and produces no smoke. An action removes the sword harmlessly and leaves no trace of the fire."
Bonfire Candle,Wondrous Item,No,100 GP,GSB,-,Its flame gives light like a normal candle and keeps every creature within that light at a comfortably warm temperature.
Bonfire Charm,Wondrous Item,No,100 GP,GSB,-,Place the charm on a burning campfire or torch to give the fire a faint healing radiance. Friendly creatures within its light that spend one or more Hit Dice at the end of a short rest treat each Hit Die roll of 1 as a 2.
Book of Instant Copying,Wondrous Item,No,100 GP,GSB,-,A magical book that can rapidly copy written information.
Boots of False Tracks,Wondrous Item,Attunement,100 GP,DMG,-,Boots that magically obscure or alter the tracks left by their wearer.
Borbos Joyous Wand of Color,Wand,No,100 GP,GSB,-,A wand that produces cheerful magical colors and visual effects.
Borbos's Marvelous Magic Marker (Common),Wondrous Item,No,100 GP,GSB,-,"This self-inking marker can replace ink and a quill, and its ink color can be changed as a bonus action. Once per dawn, you can triple-click it to make the brush erase ink for up to 1 minute instead, removing up to 1 square foot of ink containing no more than 150 characters or 25 words."
Bubble Collar,Wondrous Item,No,100 GP,GSB,-,"While worn underwater, the collar creates a breathable bubble around your head for up to 10 minutes, allowing normal speech. The bubble ends early if you take damage, leave the water, or remove the collar, and cannot form again until the collar has spent at least 1 minute out of water."
Bubbling Bathbombs,Wondrous Item,No,100 GP,GSB,-,Common bathbombs usually come in sets of 5. Dropping one into a filled tub or similar vessel turns the water into an aromatic bubbling bath at a perfect temperature for 1 hour or until emptied. Rare versions add a themed benefit after a creature soaks for at least 10 minutes.
Bulletin Buckler,Armor (shield),No,B+100 GP,GSB,-,"As an action, speak the shield's command word to make 1d4 illusory local job postings appear on it, drawn from public signs within 1 mile. The postings last until the next dawn or until the job is completed. This property can be used once per dawn."
Bullfrog Totem,Wondrous Item,No,100 GP,GSB,-,A frog-themed magical totem that provides a minor amphibian or jumping-related benefit.
Calling Cans,Wondrous Item,No,100 GP,GSB,-,"A pair of cans can be linked by tapping them together. While holding one, use an action to wrap it with at least 6 inches of copper wire and speak into it; your voice is duplicated from its linked can if the two are within 120 feet. The wire turns to ash after use."
Campers Crutch,Weapon (mace),No,B+100 GP,GSB,-,"A magical walking aid designed to help travelers and campers move, rest, and maintain camp."
Campfire Cord,Wondrous item,No,100 GP,GSB,-,"This 1-pound magical log is never consumed by fire and stays cool when removed. In a fire, its cracks act as a clock and sound again at the start of each hour; glowing ember-lines also form musical notation that produces a soft tune adapting to the local scenery and conversation."
Candle of the Deep,Wondrous Item,-,50 GP,DMG,-,A candle enchanted to continue providing light even underwater.
Candleflame Helm,Wondrous Item,No,100 GP,GSB,-,"While wearing the helm, use a bonus action to create or extinguish a flame above your head. It starts with 15 feet of bright light and 15 more feet of dim light; as an action you can change each radius by 5 feet, from 10 to 30 feet. The flame ends if the helm is removed or you are incapacitated."
Candy Xorn,Wondrous Item,No,100 GP,GSB,-,"These candies usually come in bags of 2d6 + 3. Eating one changes your eyes to orange or yellow with reptilian pupils for 1 minute. Each candy has a 5% chance to actually be a coated gemstone: usually eye agate or tiger's eye worth 10 gp, or rarely amber worth 100 gp."
Cast-Off Armor,Armor,-,B+100 GP,DMG,-,Armor enchanted so the wearer can remove it almost instantly.
Catnip Amulet,Wondrous Item,No,100 GP,GSB,-,"While wearing this amulet, you have advantage on checks made to find or call Tiny domestic cats, if any are nearby, and on Wisdom (Animal Handling) checks made to interact with them."
Celestial Sunrise Potion (Common),Potion,No,50 GP,GSB,-,"The common potion makes light shine from your mouth for 1 hour in a 20-foot cone of bright light plus 20 feet of dim light. The uncommon version instead lasts 8 hours, lets you see normally through magical and nonmagical darkness, and increases those light ranges to 40 feet each."
Charlatan's Die,Wondrous Item,Attunement,100 GP,DMG,-,A magical die useful for manipulating or influencing a game of chance.
Charlatan's Glove,Wondrous Item,-,100 GP,EB,-,A magical glove intended to assist sleight of hand and deception.
Cherry Blossom Wand,Wand,No,100 GP,GSB,-,A wand that creates cherry-blossom-themed magical effects and blossoms.
Chicken Tonic,Potion,No,50 GP,GSB,-,"A willing drinker is polymorphed into a ceramic chicken for up to 10 minutes and can end the effect as a bonus action. It retains its mental ability scores plus skill and saving-throw proficiencies; use raven statistics, except its flying speed is halved and it falls at the end of its turn unless supported."
Cleaning Cube,Wondrous Item,No,100 GP,GSB,-,"This dehydrated 2-inch sentient cube can be placed in at least 1 gallon of water as an action, expanding into a 1-foot, 6-pound animated cleaning cube for up to 8 hours. It moves at 1 foot, can climb difficult surfaces and ceilings, and methodically cleans whatever it crosses; squeezing it as an action dehydrates it early."
Cloak of Billowing,Wondrous Item,-,100 GP,DMG,-,A cloak that dramatically billows on command without requiring wind.
Cloak of Looming,Wondrous item,No,100 GP,GSB,-,A cloak that magically creates an imposing or intimidating silhouette.
Cloak of Many Fashions,Wondrous Item,-,100 GP,DMG,-,A cloak whose color and style can be magically changed.
Clockwork Amulet,Wondrous Item,-,100 GP,DMG,-,A clockwork amulet that can replace one attack roll with a reliable fixed result.
Cloth of Instant Tables,Wondrous Item,No,100 GP,GSB,-,Cloth that can rapidly become a functional table for adventuring or dining.
Clothes of Mending,Wondrous Item,-,100 GP,DMG,-,Clothing that magically repairs tears and minor damage.
Companions Band,Wondrous Item,Yes,100 GP,GSB,-,A magical band that strengthens a bond between companions.
Container of Heat and Frost,Wondrous Item,No,100 GP,GSB,-,A container that can keep contents unusually hot or cold.
Copyquill,Wondrous Item,No,100 GP,GSB,-,A magical quill that copies written material with minimal effort.
Dark Shard Amulet,Wondrous Item,Attunement,100 GP,DMG,-,A dark magical amulet that can function as a spellcasting focus for a warlock.
Dealmaker's Ring,Ring,No,100 GP,GSB,-,"When making a Charisma (Deception) or Charisma (Persuasion) check involving another humanoid, you can offer a handshake and add 1d4 to the check. Once used, this property recharges at the next dawn."
Diorama Die,Wondrous Item,No,100 GP,GSB,-,"As an action, speak the die's command word and either roll it or place it with a chosen face up. It unfolds to display a miniature illusory scene whose details depend on the rolled number and how the die was cast, dropped, shaken, spun, or placed. Picking it up closes it; each activation creates a new scene."
Djinn and Tonic (Common),Potion,No,50 GP,GSB,-,"The common potion creates a dramatic magical breeze around your hair and clothing for 1 hour. The rare version instead grants gaseous form for 10 minutes without concentration; you can end it as an action, and when you reform a burst of air forces Large or smaller creatures within 30 feet to make a DC 15 Strength save."
Doodle Ring,Ring,No,100 GP,GSB,-,"While wearing the ring, you can draw on solid surfaces with your fingertip as though using charcoal, ink, or paint in any color. The marks smudge away cleanly; the ring can maintain up to 5 square feet of drawings at once, and each mark disappears after 24 hours."
Dragonmark Channel,Wondrous Item,Attunement,250 GP,EB,-,A magical focus that channels or enhances dragonmark-related magic.
Dread Helm,Wondrous Item,-,100 GP,DMG,-,A helmet that can make the wearer's appearance frightening.
Dress of Many Pockets,Wondrous Item,No,100 GP,GSB,-,The dress has six pockets that can be shown or hidden as a bonus action and repositioned anywhere on the dress. Each holds a parcel no larger than 4 inches in any dimension and no heavier than 2 pounds. Hidden pockets shift their contents inside the dress and distribute the weight without changing its appearance.
Droplet Charm,Wondrous Item,No,100 GP,GSB,-,"This small ceramic droplet changes expression based on humidity, impending weather, and surrounding water quality. It looks sickly in unsafe water, pleased in potable water, and looks skyward roughly 15–30 minutes before rain. Its expression takes about 6 seconds to change."
Drowner's Pearl,Wondrous Item,No,100 GP,GSB,-,"While holding the pearl in your mouth, you can survive for 1 additional minute before suffocating after running out of breath or beginning to choke underwater. After this property is used, the pearl turns to dust and is destroyed."
Dryadleaf,Wondrous Item,No,100 GP,GSB,-,"A mature leaf can be eaten as an action to let a creature speak with beasts and plants for 1 minute; picked leaves retain this magic for 7 days. The plant grows up to 4 leaves, can be repotted with a DC 15 Nature or Survival check, and regrows 1d4 missing mature leaves every 7 days if properly watered and given sunlight."
Drybrooch,Wondrous Item,,100 GP,EB,-,A brooch that provides magical protection from water and dampness.
Duster,Wand,-,100 GP,EB,-,A magical cleaning item that removes ordinary dust and grime.
Ear Horn of Hearing,Wondrous Item,-,100 GP,DMG,-,A magical horn that assists a creature with hearing.
Electric Torch,Wondrous Item,No,100 GP,GSB,-,"As a bonus action, pull the cord to turn the torch on, change its radius, or extinguish it. While lit it sheds bright light in a chosen 5–30 foot radius and dim light for the same distance beyond that. If you take lightning damage while carrying it, the minimum and maximum light radii double for 1 hour."
