Name,Type,Attunement,Price,Source,Damage,Description
"Arista, Wand of the Spire",Wand,Yes-Spellcaster,Priceless,GSB,-,"Arista, Wand of the Spire is a artifact magical wand with charges or limited uses that produce a powerful spell-like or supernatural effect."
Armor of Absence,Armor,Yes,Priceless,GSB,-,"Armor of Absence is an artifact magical defensive item with powerful protective, reactive, movement, or environmental properties associated with its enchantment."
Axe of the Dwarvish Lords,Weapon,Attunement,Priceless,DMG,Weapon's normal damage,"This artifact battleaxe grants a +3 bonus to attack and damage rolls. While attuned, it also grants powerful dwarven traits and defenses, including enhanced Constitution, darkvision, and resistance to poison; like other major artifacts, it also carries additional beneficial and detrimental properties."
Blackrazor,Weapon,Attunement,Priceless,DMG,Weapon's normal damage,"This sentient +3 greatsword hungers for souls. When it reduces a qualifying creature to 0 hit points, it devours that creature's soul and grants the wielder temporary hit points based on the victim's vitality; while those temporary hit points remain, the wielder gains major combat benefits. It can also sense nearby living creatures."
Book of Exalted Deeds,Wondrous Item,Attunement,Priceless,DMG,-,"A good-aligned creature that studies this holy artifact and meets its requirements gains powerful lasting blessings, including improved Wisdom and enhanced sacred magic. The book contains exalted lore, may bestow additional beneficial properties, and rejects or harms unworthy readers."
Book of Vile Darkness,Wondrous Item,Attunement,Priceless,DMG,-,"An evil creature that studies this artifact can gain lasting corrupting benefits, including increased ability scores and access to vile lore. The book also carries harmful and corruptive effects, additional artifact properties, and severe consequences for creatures that are not sufficiently evil."
Calimemnon Crystal,Wondrous Item,Attunement,Priceless,FRAiF,-,"Calimemnon Crystal is a artifact magical focus or object that stores, reveals, enhances, or releases a powerful supernatural effect."
Criir's Blade,Weapon,Yes,Priceless,GSB,Weapon's normal damage,"Criir's Blade is an artifact magical weapon with potent combat properties, such as enhanced attacks, additional damage, special conditions, or limited activated abilities."
Criir's Scepter,Rod,Yes-Spellcaster,Priceless,GSB,-,"Criir's Scepter is a artifact magical rod with a potent activated utility, control, defensive, or combat effect."
Crown Of Horns,Wondrous Item,Attunement,Priceless,FRAiF,-,"Crown Of Horns is an artifact magical wondrous item with powerful utility, defensive, movement, control, or combat-related supernatural properties."
Demonomicon of Iggwilv,Wondrous Item,Attunement,Priceless,DMG,Varies,"This artifact tome contains extensive lore on demons and the Abyss. An attuned wielder gains powerful abilities for identifying, controlling, binding, and banishing fiends, but the book's magic is dangerous and can expose its bearer to demonic corruption and hostile forces."
Eye and Hand of Vecna,Wondrous Item,Attunement,Priceless,DMG,Varies,"These paired artifacts require replacing your own eye and hand to attune. Each grants powerful supernatural abilities and spell-like effects, with even greater powers when both are used together; destroying or abusing them carries extreme risks, including corruption and possible loss of control."
Galea of the Soulfire Phoenix,Wondrous Item,Yes,Priceless,GSB,Fire,"Galea of the Soulfire Phoenix is an artifact magical wondrous item with powerful utility, defensive, movement, control, or combat-related supernatural properties."
"Ghaal'duur, the Mighty Dirge",Wondrous Item,Attunement,Priceless,EB,-,"Ghaal'duur, the Mighty Dirge is an artifact magical wondrous item with powerful utility, defensive, movement, control, or combat-related supernatural properties."
Grieving Tree,Eldritch Machine,Attunement,Priceless,EB,-,"Grieving Tree is an artifact magical eldritch machine with powerful utility, defensive, movement, control, or combat-related supernatural properties."
"Hatred, the Wrathful Edge",Weapon,Yes-Worthy,Priceless,GSB,Weapon's normal damage,"Hatred, the Wrathful Edge is an artifact magical weapon with potent combat properties, such as enhanced attacks, additional damage, special conditions, or limited activated abilities."
Ionbreaker the Tempests Reach,Weapon,Yes,Priceless,GSB,Weapon's normal damage,"Ionbreaker the Tempests Reach is an artifact magical weapon with potent combat properties, such as enhanced attacks, additional damage, special conditions, or limited activated abilities."
"Kheld'ir, the Sixth Shot",Weapon,Yes,Priceless,GSB,Weapon's normal damage,"Kheld'ir, the Sixth Shot is an artifact magical weapon with potent combat properties, such as enhanced attacks, additional damage, special conditions, or limited activated abilities."
"Nimbus, First Staff of the Thunderbirds",Staff,Yes,Priceless,GSB,Thunder,"Nimbus, First Staff of the Thunderbirds is a artifact magical staff that serves as a weapon or focus and carries one or more powerful magical abilities."
Orb of Damara,Wondrous Item,Attunement,Priceless,FRAiF,-,"Orb of Damara is a artifact magical focus or object that stores, reveals, enhances, or releases a powerful supernatural effect."
Orb of Dragonkind,Wondrous Item,Attunement,Priceless,DMG,Varies,"This sentient artifact orb can call dragons, communicate telepathically, and unleash powerful spell-like effects. It has its own will, may attempt to dominate its bearer, and carries additional artifact properties."
Precipit the Formless,Staff,Yes,Priceless,GSB,-,Precipit the Formless is a artifact magical staff that serves as a weapon or focus and carries one or more powerful magical abilities.
"Silverwind, The Cleansing Breeze",Weapon,Yes,Priceless,GSB,Weapon's normal damage,"Silverwind, The Cleansing Breeze is an artifact magical weapon with potent combat properties, such as enhanced attacks, additional damage, special conditions, or limited activated abilities."
"Skorr, the Hungering Axe",Weapon,Yes,Priceless,GSB,Weapon's normal damage,"Skorr, the Hungering Axe is an artifact magical weapon with potent combat properties, such as enhanced attacks, additional damage, special conditions, or limited activated abilities."
Staff of Awakening,Staff,Yes-Spellcaster,Priceless,GSB,-,Staff of Awakening is a artifact magical staff that serves as a weapon or focus and carries one or more powerful magical abilities.
Sword of Kas,Weapon,Attunement,Priceless,DMG,Weapon's normal damage,"This sentient +3 longsword is especially potent against Vecna and creatures tied to him. It grants strong combat and defensive benefits, can produce powerful spell-like effects, and has its own violent personality and goals."
Tectonic Gauntlets,Wondrous Item,Yes,Priceless,GSB,-,"Tectonic Gauntlets is an artifact magical wondrous item with powerful utility, defensive, movement, control, or combat-related supernatural properties."
The Griffons Saddlebag,Wondrous Item,No,Priceless,GSB,-,"The Griffons Saddlebag is an artifact magical wondrous item with powerful utility, defensive, movement, control, or combat-related supernatural properties."
The Suncatcher,Staff,"Yes-Cleric, Druid, Sorceror, or Wizard",Priceless,GSB,-,The Suncatcher is a artifact magical staff that serves as a weapon or focus and carries one or more powerful magical abilities.
