Name,Type,Attunement,Price,Source,Damage,Description
Abjurer's Ward (Rare),Wondrous Item,No,"4,000 GP",GSB,-,"Abjurer's Ward is a rare magical wondrous item with a significant utility, defensive, movement, control, or combat-related supernatural property."
Acanist's Scribing Wand,Wand,Yes-Wizard,"4,000 GP",GSB,-,Acanist's Scribing Wand is a rare magical wand with charges or limited uses that produce a potent spell-like or supernatural effect.
Aciurgist's Blade,Weapon,Yes-Paladin,"B+4,000 GP",GSB,Weapon's normal damage,"Aciurgist's Blade is a rare magical weapon with a stronger-than-normal combat property, such as extra damage, a special attack, a condition, or a limited activated ability."
Acrid Wetsuit,Armor,No,"B+4,000 GP",GSB,-,"Acrid Wetsuit is a rare enchanted defensive item that grants improved protection and an additional magical defensive, reactive, movement, or environmental effect tied to its theme."
Adventurer's Overcoat,Wondrous Item,Yes,"4,000 GP",GSB,-,"Adventurer's Overcoat is a rare magical wondrous item with a significant utility, defensive, movement, control, or combat-related supernatural property."
Aegis of Radiance,Armor,Yes-Cleric,"B+4,000 GP",GSB,-,"Aegis of Radiance is a rare enchanted defensive item that grants improved protection and an additional magical defensive, reactive, movement, or environmental effect tied to its theme."
Aged Goodberry Wine,Potion,No,"2,000 GP",GSB,-,"Aged Goodberry Wine is a rare consumable magical preparation that produces a powerful temporary restorative, transformative, protective, or supernatural effect when used."
Air Render,Weapon,Yes,"B+4,000 GP",GSB,Weapon's normal damage,"Air Render is a rare magical weapon with a stronger-than-normal combat property, such as extra damage, a special attack, a condition, or a limited activated ability."
Alchemist's Firethrower,Wondrous Item,No,"4,000 GP",GSB,Fire,"Alchemist's Firethrower is a rare magical wondrous item with a significant utility, defensive, movement, control, or combat-related supernatural property."
Amethyst Revolver,Weapon,No,"B+4,000 GP",GSB,Weapon's normal damage,"Amethyst Revolver is a rare magical weapon with a stronger-than-normal combat property, such as extra damage, a special attack, a condition, or a limited activated ability."
Ammunition (Rare),Weapon,-,Varies,DMG,Weapon's normal damage,"This magic ammunition grants a bonus to attack and damage rolls determined by its version. Once it hits a target, it loses its magic; on a miss, the ammunition may be recoverable."
